state,region
ANDHRA PRADESH,South
ARUNACHAL PRADESH,Northeast
ASSAM,Northeast
BIHAR,East
CHHATTISGARH,Central
GOA,West
GUJARAT,West
HARYANA,North
HIMACHAL PRADESH,North
JHARKHAND,East
KARNATAKA,South
KERALA,South
MADHYA PRADESH,Central
MAHARASHTRA,West
MANIPUR,Northeast
MEGHALAYA,Northeast
MIZORAM,Northeast
NAGALAND,Northeast
ODISHA,East
PUNJAB,North
RAJASTHAN,North
SIKKIM,Northeast
TAMIL NADU,South
TELANGANA,South
TRIPURA,Northeast
UTTAR PRADESH,North
UTTARAKHAND,North
WEST BENGAL,East
ANDAMAN AND NICOBAR ISLANDS,East
CHANDIGARH,North
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,West
DELHI,North
JAMMU AND KASHMIR,North
LADAKH,North
LAKSHADWEEP,South
PUDUCHERRY,South
